SEXO;EDAD;HORA HECHO;FECHA HECHO;FECHA FALL.;CONDICION
Masculino;22;.;1/01/2016;1/01/2016;Motociclista
Masculino;28;.;1/01/2016;1/01/2016;Motociclista
Masculino;25;.;2/01/2016;2/01/2016;Motociclista
Masculino;20;6:40;4/01/2016;4/01/2016;Motociclista
Masculino;20;15:30;8/01/2016;8/01/2016;Motociclista
Femenino;67;.;9/01/2016;9/01/2016;Peatón
Masculino;24;6:50;10/01/2016;10/01/2016;Motociclista
Femenino;27;.;10/01/2016;13/01/2016;Motociclista
Masculino;32;6:15;15/01/2016;15/01/2016;Peatón
Masculino;34;.;17/01/2016;17/01/2016;Peatón
Masculino;20;.;17/01/2016;17/01/2016;Motociclista
Masculino;27;.;19/01/2016;19/01/2016;Motociclista
Masculino;22;.;14/01/2016;19/01/2016;Motociclista
Masculino;22;.;20/01/2016;20/01/2016;Motociclista
Femenino;79;.;20/01/2016;20/01/2016;Parrillero
Masculino;63;.;13/01/2016;20/01/2016;Motociclista
Masculino;18;.;22/01/2016;22/01/2016;Motociclista
Masculino;46;.;16/01/2016;22/01/2016;Motociclista
Masculino;57;6:30;7/01/2016;22/01/2016;Ciclista
Masculino;58;10:42;23/01/2016;23/01/2016;Peatón
Masculino;.;.;23/01/2016;23/01/2016;Sin dato
Masculino;32;7:35;24/01/2016;24/01/2016;Motociclista
Masculino;61;21:15;23/01/2016;24/01/2016;Peatón
Masculino;17;.;24/01/2016;25/01/2016;Motociclista
Masculino;22;.;24/01/2016;25/01/2016;Ciclista
Femenino;21;22:50;26/01/2016;26/01/2016;Parrillero
Masculino;61;10:38;28/01/2016;28/01/2016;Ciclista
Masculino;17;.;31/01/2016;31/01/2016;Ciclista
Femenino;29;.;30/01/2016;1/02/2016;Peatón
Masculino;63;18:15;2/02/2016;2/02/2016;Ciclista
Masculino;45;.;30/01/2016;2/02/2016;Peatón
Femenino;20;15:30;28/02/2016;4/02/2016;Parrillero
Masculino;60;.;4/02/2016;4/02/2016;Ciclista
Femenino;43;13:05;5/02/2016;5/02/2016;Parrillero
Masculino;62;.;6/02/2016;6/02/2016;Peatón
Masculino;62;11:45;7/02/2016;7/02/2016;Parrillero
Masculino;33;4:05;7/02/2016;7/02/2016;Ciclista
Masculino;19;11:36;31/01/2016;7/02/2016;Parrillero
Masculino;21;.;9/02/2016;10/02/2016;Motociclista
Masculino;59;15:30;8/02/2017;11/02/2016;Peatón
Masculino;31;.;11/02/2016;11/02/2016;Motociclista
Masculino;75;3:30;6/02/2016;11/02/2016;Peatón
Masculino;17;0:05;12/02/2016;12/02/2016;Motociclista
Masculino;51;6:45;8/02/2016;12/02/2016;Parrillero
Femenino;73;.;2/02/2016;12/02/2016;Peatón
Masculino;30;.;13/02/2016;13/02/2016;Motociclista
Masculino;28;.;2/02/2016;13/02/2016;Motociclista
Masculino;59;8:50;17/02/2016;17/02/2016;Motociclista
Masculino;79;.;12/02/2016;17/02/2016;Peatón
Masculino;78;.;9/02/2016;18/02/2016;Ciclista
Masculino;65;.;6/01/2016;18/02/2016;Peatón
Femenino;78;9:30;16/02/2016;19/02/2016;Peatón
Masculino;26;12:00;19/02/2016;20/02/2016;Motociclista
Masculino;22;17:10;21/02/2016;25/02/2016;Ciclista
Masculino;27;.;27/02/2016;27/02/2016;Motociclista
Femenino;17;.;27/02/2016;28/02/2016;Parrillero
Masculino;23;19:30;29/02/2016;29/02/2016;Peatón
Masculino;64;.;29/02/2016;1/03/2016;Ciclista
Masculino;28;21:40;5/03/2016;5/03/2016;Peatón
Masculino;41;22:40;7/03/2016;7/03/2016;Peatón
Femenino;91;.;7/03/2016;7/03/2016;Peatón
Masculino;34;22:30;6/03/2016;8/03/2016;Motociclista
Femenino;25;.;9/03/2016;9/03/2016;Motociclista
Masculino;19;13:05;10/03/2016;10/03/2016;Motociclista
Masculino;19;22:40;5/03/2016;15/03/2016;Motociclista
Masculino;31;5:00;16/03/2016;16/03/2016;Motociclista
Masculino;35;14:20;15/03/2016;16/03/2016;Motociclista
Femenino;26;21:30;18/03/2016;18/03/2016;Motociclista
Masculino;32;2:00;18/03/2016;18/03/2016;Conductor
Masculino;85;6:20;7/03/2016;18/03/2016;Peatón
Masculino;62;17:50;20/03/2016;20/03/2016;Peatón
Masculino;18;2:08;20/03/2016;20/03/2016;Motociclista
Femenino;60;18:15;21/03/2016;21/03/2016;Conductor
Femenino;22;12:10;22/03/2016;22/03/2016;Motociclista
Femenino;68;18:50;22/03/2016;23/03/2016;Peatón
Masculino;45;18:20;24/03/2016;24/03/2016;Motociclista
Masculino;70;10:20;28/03/2016;28/03/2016;Peatón
Masculino;78;19:30;19/03/2016;28/03/2016;Peatón
Masculino;48;18:30;26/03/2016;30/03/2016;Motociclista
Femenino;20;.;31/03/2016;31/03/2016;Motociclista
Masculino;52;13:48;1/04/2016;3/04/2016;Motociclista
Masculino;39;18:20;24/03/2016;5/04/2016;Pasajero de Auto
Masculino;53;8:30;28/03/2016;6/04/2016;Pasajero de Auto
Masculino;18;20:00;19/03/2016;7/04/2016;Motociclista
Masculino;48;14:00;10/04/2016;10/04/2016;Ciclista
Masculino;15;6:30;10/04/2016;10/04/2016;Motociclista
Femenino;14;6:30;10/04/2016;10/04/2016;Parrillero
Femenino;74;11:00;14/04/2016;14/04/2016;Peatón
Masculino;19;22:30;17/04/2016;17/04/2016;Motociclista
Masculino;17;16:45;17/04/2016;18/04/2016;Ciclista
Masculino;32;4:00;20/04/2016;20/04/2016;Parrillero
Masculino;32;21:30;18/04/2016;21/04/2016;Motociclista
Masculino;43;9:12;14/04/2016;22/04/2016;Peatón
Masculino;55;.;27/04/2016;27/04/2016;Peatón
Masculino;63;21:00;28/04/2016;28/04/2016;Peatón
Masculino;27;6:00;29/04/2016;29/04/2016;Motociclista
Masculino;58;10:50;26/04/2016;2/05/2016;Ciclista
Femenino;33;18:30;29/04/2016;4/05/2016;Parrillero
Masculino;56;17:00;20/04/2016;4/05/2016;Motociclista
Masculino;78;8:30;10/02/2016;5/05/2016;Ciclista
Masculino;51;5:30;6/05/2016;6/05/2016;Motociclista
Masculino;25;23:00;6/05/2016;6/05/2016;Motociclista
Masculino;44;19:55;7/05/2016;7/05/2016;Peatón
Masculino;59;23:53;7/05/2016;7/05/2016;Peatón
Masculino;55;17:40;8/05/2016;8/05/2016;Conductor
Femenino;44;22:10;7/05/2016;9/05/2016;Peatón
Masculino;40;0:34;10/05/2016;10/05/2016;Peatón
Masculino;84;17:20;14/05/2016;14/05/2016;Peatón
Masculino;76;18:45;15/05/2016;15/05/2016;Peatón
Masculino;64;13:10;15/05/2016;15/05/2016;Ciclista
Masculino;35;14:45;16/04/2016;17/05/2016;Motociclista
Masculino;56;.;16/05/2016;18/05/2016;Peatón
Masculino;65;19:20;19/05/2016;19/05/2016;Conductor
Masculino;23;14:05;19/05/2016;19/05/2016;Motociclista
Femenino;36;7:20;20/05/2016;20/05/2016;Motociclista
Masculino;33;13:15;21/05/2016;21/05/2016;Motociclista
Masculino;65;.;21/05/2016;21/05/2016;Conductor
Masculino;49;.;21/05/2016;21/05/2016;Peatón
Masculino;55;1:20;23/05/2016;23/05/2016;Peatón
Masculino;30;13:46;23/05/2016;24/05/2016;Motociclista
Masculino;34;22:40;22/05/2016;24/05/2016;Peatón
Masculino;62;8:30;23/05/2016;25/05/2016;Ciclista
Femenino;73;20:40;21/05/2016;25/05/2016;Peatón
Masculino;16;.;26/05/2016;26/05/2016;Motociclista
Masculino;28;16:45;13/05/2016;26/05/2016;Peatón
Masculino;54;.;27/05/2016;27/05/2016;Peatón
Masculino;69;18:30;26/05/2016;27/05/2016;Peatón
Femenino;59;14:20;29/05/2016;29/05/2016;Peatón
Masculino;75;20:00;9/05/2016;29/05/2016;Peatón
Masculino;52;3:00;30/05/2016;30/05/2016;Peatón
Masculino;36;22:30;29/05/2016;30/05/2016;Peatón
Masculino;84;8:35;31/05/2016;31/05/2016;Peatón
Masculino;35;15:00;31/05/2016;31/05/2016;Peatón
Masculino;75;20:40;20/05/2016;31/05/2016;Ciclista
Masculino;77;20:00;18/05/2016;31/05/2016;Peatón
Masculino;83;18:05;14/05/2016;31/05/2016;Peatón
Masculino;47;18:30;1/06/2016;1/06/2016;Peatón
Masculino;80;16:45;5/05/2016;3/06/2016;Peatón
Masculino;28;4:35;5/06/2016;5/06/2016;Conductor
Masculino;49;2:55;6/06/2016;6/06/2016;Peatón
Masculino;38;22:20;6/06/2016;6/06/2016;Motociclista
Masculino;45;3:50;27/04/2016;6/06/2016;Conductor
Masculino;34;3:53;8/06/2016;8/06/2016;Conductor
Masculino;69;18:55;7/06/2016;9/06/2016;Peatón
Masculino;31;17:10;10/06/2016;10/06/2016;Motociclista
Masculino;49;17:00;10/06/2016;10/06/2016;Peatón
Masculino;21;18:00;7/06/2016;10/06/2016;Motociclista
Femenino;18;21:10;4/06/2016;10/06/2016;Motociclista
Masculino;83;.;18/06/2016;18/06/2016;Parrillero
Femenino;36;21:10;18/06/2016;19/06/2016;Peatón
Masculino;86;18:10;20/06/2017;21/06/2016;Peatón
Masculino;29;.;23/06/2016;23/06/2016;Ciclista
Masculino;40;18:50;25/06/2016;24/06/2016;Peatón
Masculino;56;1:15;25/06/2016;25/06/2016;Ciclista
Masculino;63;6:00;24/06/2016;25/06/2016;Ciclista
Masculino;58;17:00;25/06/2016;26/06/2016;Motociclista
Masculino;72;21:00;27/06/2016;27/06/2016;Peatón
Femenino;72;7:05;30/06/2016;4/07/2016;Peatón
Masculino;20;18:00;8/07/2016;8/07/2016;Ciclista
Masculino;51;16:30;8/07/2016;8/07/2016;Peatón
Masculino;89;17:00;28/06/2016;8/07/2016;Peatón
Masculino;26;1:00;9/07/2016;9/07/2016;Motociclista
Masculino;62;21:00;9/07/2016;12/07/2016;Peatón
Masculino;19;6:48;13/07/2016;13/07/2016;Motociclista
Masculino;58;19:40;14/07/2016;14/07/2016;Motociclista
Femenino;76;11:55;26/06/2016;14/07/2016;Peatón
Masculino;78;19:15;18/07/2016;18/07/2016;Peatón
Masculino;61;14:40;17/07/2016;18/07/2016;Conductor
Masculino;73;12:48;19/07/2016;19/07/2016;Peatón
Masculino;57;21:50;10/07/2016;19/07/2016;Peatón
Masculino;69;9:20;15/07/2016;20/07/2016;Ciclista
Masculino;16;10:10;21/07/2016;21/07/2016;Motociclista
Femenino;72;17:00;3/06/2016;21/07/2016;Peatón
Masculino;19;0:30;22/07/2016;22/07/2016;Motociclista
Masculino;28;10:40;23/07/2016;23/07/2016;Conductor
Masculino;25;.;23/07/2016;23/07/2016;Motociclista
Masculino;16;8:45;25/07/2016;25/07/2016;Motociclista
Masculino;19;.;25/07/2016;25/07/2016;Motociclista
Masculino;33;0:50;25/07/2016;26/07/2016;Motociclista
Femenino;23;16:50;27/07/2016;27/07/2016;Parrillero
Masculino;68;22:30;26/07/2016;27/07/2016;Peatón
Masculino;70;.;5/07/2016;27/07/2016;Peatón
Masculino;28;10:45;26/07/2016;30/07/2016;Motociclista
Masculino;23;3:00;20/07/2016;2/08/2016;Motociclista
Masculino;26;13:30;6/08/2016;6/08/2016;Conductor
Masculino;19;22:40;1/08/2016;6/08/2016;Peatón
Masculino;40;22:51;7/08/2016;7/08/2016;Motociclista
Masculino;31;18:25;7/08/2016;8/08/2016;Ciclista
Femenino;59;10:55;7/08/2016;8/08/2016;Peatón
Masculino;44;11:00;3/08/2016;9/08/2016;Motociclista
Masculino;31;15:00;10/08/2016;10/08/2016;Peatón
Masculino;78;18:40;9/08/2016;10/08/2016;Peatón
Masculino;41;23:03;30/07/2016;10/08/2016;Peatón
Masculino;25;.;10/08/2016;11/08/2016;Motociclista
Masculino;44;2:00;25/07/2016;11/08/2016;Motociclista
Masculino;39;12:05;12/08/2016;12/08/2016;Motociclista
Masculino;21;9:20;13/08/2016;13/08/2016;Motociclista
Femenino;20;22:05;14/08/2016;14/08/2016;Motociclista
Femenino;32;22:55;14/08/2016;15/08/2016;Pasajero de Auto
Masculino;53;13:30;11/08/2016;16/08/2016;Motociclista
Masculino;20;7:30;17/08/2016;17/08/2016;Motociclista
Masculino;27;8:03;17/08/2016;17/08/2016;Ciclista
Masculino;27;2:08;20/08/2016;20/08/2016;Motociclista
Masculino;18;4:30;21/08/2016;21/08/2016;Motociclista
Masculino;22;2:45;21/08/2016;21/08/2016;Motociclista
Masculino;28;5:30;24/08/2016;24/08/2016;Motociclista
Masculino;31;2:50;26/08/2016;26/08/2016;Motociclista
Masculino;63;17:00;17/08/2016;26/08/2016;Peatón
Masculino;12;.;27/08/2016;27/08/2016;Parrillero
Masculino;75;12:00;24/08/2016;27/08/2016;Peatón
Masculino;78;8:15;28/08/2016;28/08/2016;Peatón
Masculino;34;2:50;28/08/2016;28/08/2016;Motociclista
Masculino;56;16:30;29/08/2016;29/08/2016;Ciclista
Masculino;80;10:30;13/08/2016;1/09/2016;Peatón
Masculino;28;3:42;4/09/2016;4/09/2016;Motociclista
Masculino;18;17:30;5/09/2016;5/09/2016;Conductor
Masculino;46;14:50;6/09/2016;6/09/2016;Motociclista
Masculino;19;13:00;8/09/2016;9/09/2016;Motociclista
Masculino;38;22:20;10/09/2016;11/09/2016;Motociclista
Masculino;68;8:00;12/09/2016;12/09/2016;Ciclista
Masculino;35;4:15;3/09/2016;12/09/2016;Motociclista
Femenino;20;13:00;13/09/2016;13/09/2016;Parrillero
Masculino;29;2:45;12/09/2016;13/09/2016;Motociclista
Masculino;52;21:50;14/09/2016;14/09/2016;Parrillero
Masculino;26;2:33;15/09/2016;15/09/2016;Pasajero de Auto
Femenino;78;14:50;15/09/2016;15/09/2016;Peatón
Masculino;84;12:50;14/08/2016;15/09/2016;Peatón
Femenino;28;19:30;17/09/2016;17/09/2016;Parrillero
Femenino;35;14:00;19/09/2016;19/09/2016;Motociclista
Femenino;82;19:30;20/09/2016;20/09/2016;Peatón
Masculino;26;13:00;24/09/2016;24/09/2016;Motociclista
Masculino;24;17:40;25/09/2016;25/09/2016;Motociclista
Masculino;62;8:54;25/09/2016;25/09/2016;Motociclista
Masculino;34;15:00;4/09/2016;25/09/2016;Motociclista
Femenino;33;21:10;26/09/2016;27/09/2016;Parrillero
Masculino;27;21:30;28/09/2016;29/09/2016;Motociclista
Femenino;58;9:40;30/01/2016;30/09/2016;Peatón
Masculino;72;10:37;23/08/2016;3/10/2016;Peatón
Masculino;34;1:00;8/10/2016;8/10/2016;Motociclista
Masculino;47;3:55;30/05/2016;8/10/2016;Motociclista
Masculino;26;23:20;9/10/2016;9/10/2016;Motociclista
Masculino;58;.;9/10/2016;10/10/2016;Peatón
Masculino;21;.;11/10/2016;11/10/2016;Motociclista
Masculino;57;.;6/10/2016;11/10/2016;Peatón
Masculino;23;5:40;15/10/2016;15/10/2016;Motociclista
Femenino;25;5:40;15/10/2016;15/10/2016;Parrillero
Masculino;59;9:15;15/10/2016;15/10/2016;Peatón
Masculino;24;20:30;14/10/2016;15/10/2016;Motociclista
Masculino;17;20:30;14/10/2016;16/10/2016;Motociclista
Masculino;21;13:00;18/10/2016;18/10/2016;Motociclista
Masculino;21;6:00;18/10/2016;18/10/2016;Ciclista
Femenino;71;18:05;18/10/2016;18/10/2016;Peatón
Masculino;82;19:00;15/10/2016;18/10/2016;Peatón
Masculino;28;23:20;21/10/2016;21/10/2016;Motociclista
Masculino;35;19:40;17/09/2016;21/10/2016;Peatón
Masculino;59;20:35;21/10/2016;22/10/2016;Peatón
Masculino;72;9:40;25/10/2016;25/10/2016;Ciclista
Masculino;46;22:25;25/10/2016;25/10/2016;Peatón
Masculino;45;14:00;26/10/2016;26/10/2016;Motociclista
Femenino;17;15:25;20/10/2016;26/10/2016;Peatón
Femenino;28;20:20;21/10/2016;29/10/2016;Parrillero
Femenino;74;19:40;17/10/2016;29/10/2016;Peatón
Masculino;21;22:45;30/10/2016;31/10/2016;Motociclista
Masculino;21;23:31;30/10/2016;31/10/2016;Motociclista
Masculino;.;2:10;5/11/2016;5/11/2016;Peatón
Masculino;20;10:40;5/11/2016;5/11/2016;Motociclista
Masculino;30;6:05;5/11/2016;5/11/2016;Motociclista
Masculino;54;3:50;4/12/2016;6/11/2016;Motociclista
Masculino;14;23:50;6/11/2016;6/11/2016;Conductor
Masculino;58;6:30;8/11/2016;8/11/2016;Motociclista
Masculino;42;14:00;9/11/2016;9/11/2016;Peatón
Masculino;22;23:15;13/11/2016;13/11/2016;Motociclista
Femenino;66;14:55;28/11/2016;16/11/2016;Peatón
Masculino;57;7:00;17/11/2016;17/11/2016;Motociclista
Femenino;67;6:50;17/11/2016;17/11/2016;Peatón
Femenino;20;22:55;19/11/2016;19/11/2016;Parrillero
Masculino;64;1:30;20/11/2016;20/11/2016;Peatón
Masculino;70;6:30;20/11/2016;21/11/2016;Peatón
Masculino;22;17:30;22/11/2016;22/11/2016;Conductor
Masculino;.;17:30;22/11/2016;22/11/2016;Motociclista
Femenino;.;17:30;22/11/2016;22/11/2016;Parrillero
Masculino;79;11:10;23/11/2016;23/11/2016;Peatón
Masculino;21;23:15;13/11/2016;24/11/2016;Parrillero
Masculino;71;6:00;25/11/2016;25/11/2016;Ciclista
Masculino;76;14:30;25/11/2016;25/11/2016;Pasajero de Auto
Femenino;67;17:30;11/11/2016;25/11/2016;Peatón
Masculino;18;17:45;28/11/2016;26/11/2016;Motociclista
Masculino;21;23:40;27/11/2016;27/11/2016;Conductor
Masculino;65;16:26;27/11/2016;27/11/2016;Peatón
Masculino;15;21:30;21/11/2016;27/11/2016;Parrillero
Masculino;25;7:30;28/11/2016;28/11/2016;Ciclista
Masculino;86;13:30;26/11/2016;1/12/2016;Peatón
Masculino;80;9:15;23/11/2016;1/12/2016;Ciclista
Femenino;50;6:30;2/12/2016;2/12/2016;Motociclista
Masculino;54;19:49;26/11/2016;3/12/2016;Peatón
Masculino;61;19:25;21/11/2016;3/12/2016;Motociclista
Masculino;55;4:10;4/12/2016;4/12/2016;Conductor
Masculino;66;22:15;4/12/2016;7/12/2016;Peatón
Masculino;72;13:10;12/11/2016;7/12/2016;Peatón
Masculino;62;10:10;12/12/2016;12/12/2016;Peatón
Femenino;69;14:20;14/10/2016;13/12/2016;Peatón
Masculino;53;1:38;12/12/2016;14/12/2016;Motociclista
Masculino;44;19:00;16/12/2016;16/12/2016;Motociclista
Masculino;55;7:20;16/12/2016;16/12/2016;Motociclista
Masculino;29;5:00;17/12/2016;17/12/2016;Parrillero
Masculino;70;13:00;17/12/2016;17/12/2016;Ciclista
Masculino;34;19:55;17/12/2016;17/12/2016;Motociclista
Femenino;35;23:20;17/12/2016;18/12/2016;Jinete
Masculino;46;6:10;19/12/2016;19/12/2016;Peatón
Masculino;.;11:50;21/12/2016;21/12/2016;Peatón
Masculino;21;20:40;22/12/2016;22/12/2016;Motociclista
Masculino;28;19:20;18/12/2016;22/12/2016;Conductor
Masculino;25;13:30;23/12/2016;23/12/2016;Motociclista
Masculino;22;5:20;23/12/2016;23/12/2016;Motociclista
Masculino;21;.;23/12/2016;23/12/2016;Motociclista
Masculino;56;23:26;26/12/2016;26/12/2016;Motociclista
Masculino;77;6:10;16/11/2016;26/12/2016;Peatón
Masculino;59;18:52;24/12/2016;27/12/2016;Peatón
Masculino;22;1:45;1/01/2017;1/01/2017;Motociclista
Femenino;65;.;31/12/2016;1/01/2017;Peatón
Masculino;27;6:20;2/01/2017;2/01/2017;Motociclista
Masculino;28;11:58;1/01/2017;2/01/2017;Motociclista
Masculino;48;0:20;18/12/2016;3/01/2017;Peatón
Femenino;73;15:40;6/01/2017;6/01/2017;Peatón
Masculino;77;20:20;25/12/2016;6/01/2017;Peatón
Masculino;23;3:30;8/01/2017;9/01/2017;Sin dato
Femenino;45;7:40;11/01/2017;11/01/2017;Peatón
Masculino;70;19:30;7/01/2017;11/01/2017;Peatón
Masculino;50;4:30;3/12/2016;13/01/2017;Peatón
Masculino;45;4:20;14/01/2017;14/01/2017;Motociclista
Masculino;66;21:30;5/01/2017;15/01/2017;Peatón
Masculino;30;11:40;18/01/2017;18/01/2017;Motociclista
Masculino;46;.;14/01/2017;18/01/2017;Motociclista
Femenino;78;11:40;20/01/2017;20/01/2017;Peatón
