interseccion,via_a,via_b,latitud,longitud
"Avenida 1 Norte | Calle 4 Norte","Avenida 1 Norte","Calle 4 Norte","3.4510876","-76.5384836"
"Avenida 1 Norte | Calle 5 Norte","Avenida 1 Norte","Calle 5 Norte","3.4514015","-76.5378498"
"Avenida 1 Norte | Calle 5 Oeste","Avenida 1 Norte","Calle 5 Oeste","3.4507085","-76.545865"
"Avenida 1 Norte | Calle 6 Norte","Avenida 1 Norte","Calle 6 Norte","3.4516948","-76.5372763"
"Avenida 1 Norte | Calle 7 Norte","Avenida 1 Norte","Calle 7 Norte","3.4520901","-76.5366992"
"Avenida 1 Norte | Calle 9A Norte","Avenida 1 Norte","Calle 9A Norte","3.4537332","-76.5357915"
"Avenida 10 | Calle 10 Norte","Avenida 10","Calle 10 Norte","3.4571213","-76.5377826"
"Avenida 10 | Calle 12 Norte","Avenida 10","Calle 12 Norte","3.4585766","-76.5371201"
"Avenida 10 | Calle 14 Norte","Avenida 10","Calle 14 Norte","3.4597267","-76.536186"
"Avenida 10 | Calle 15A Norte","Avenida 10","Calle 15A Norte","3.4609973","-76.5351631"
"Avenida 10 | Calle 15B Norte","Avenida 10","Calle 15B Norte","3.4612773","-76.5350803"
"Avenida 10 | Calle 16 Norte","Avenida 10","Calle 16 Norte","3.4616026","-76.534418"
"Avenida 10 | Calle 18 Norte","Avenida 10","Calle 18 Norte","3.4626329","-76.5355535"
"Avenida 10 | Calle 19","Avenida 10","Calle 19","3.4560604","-76.5590093"
"Avenida 10 | Calle 19 Norte","Avenida 10","Calle 19 Norte","3.4630475","-76.5354717"
"Avenida 10 | Calle 19 Oeste","Avenida 10","Calle 19 Oeste","3.455634","-76.559565"
"Avenida 10 | Calle 21A Norte","Avenida 10","Calle 21A Norte","3.4637406","-76.5350417"
"Avenida 10 | Calle 22 Bis Norte","Avenida 10","Calle 22 Bis Norte","3.4648935","-76.5339547"
"Avenida 10 Norte | Calle 51 Norte","Avenida 10 Norte","Calle 51 Norte","3.4857468","-76.5323067"
"Avenida 10 Norte | Calle 53 Norte","Avenida 10 Norte","Calle 53 Norte","3.4864072","-76.5322838"
"Avenida 11 | Calle 10 Norte","Avenida 11","Calle 10 Norte","3.4573864","-76.5380845"
"Avenida 15 Oeste | Calle 11 Oeste","Avenida 15 Oeste","Calle 11 Oeste","3.4596783","-76.55561"
"Avenida 15 Oeste | Calle 6 Oeste","Avenida 15 Oeste","Calle 6 Oeste","3.4579764","-76.5493617"
"Avenida 15 Oeste | Calle 7 Oeste","Avenida 15 Oeste","Calle 7 Oeste","3.4582659","-76.5496586"
"Avenida 2 Bis Norte | Avenida 4 Norte","Avenida 2 Bis Norte","Avenida 4 Norte","3.4718797","-76.5244628"
"Avenida 2 Bis Norte | Calle 24 Norte","Avenida 2 Bis Norte","Calle 24 Norte","3.4678649","-76.5236675"
"Avenida 2 Bis Norte | Calle 25 Norte","Avenida 2 Bis Norte","Calle 25 Norte","3.4685064","-76.523827"
"Avenida 2 Bis Norte | Calle 35 Norte","Avenida 2 Bis Norte","Calle 35 Norte","3.4729214","-76.5249463"
"Avenida 2 Bis Norte | Calle 72B Norte","Avenida 2 Bis Norte","Calle 72B Norte","3.4910727","-76.5034985"
"Avenida 2 Bis Norte | Calle 73 Norte","Avenida 2 Bis Norte","Calle 73 Norte","3.4913033","-76.5032748"
"Avenida 2 Norte | Avenida 2A Norte","Avenida 2 Norte","Avenida 2A Norte","3.488802","-76.5037023"
"Avenida 2 Norte | Calle 10","Avenida 2 Norte","Calle 10","3.4545199","-76.5349612"
"Avenida 2 Norte | Calle 12 Norte","Avenida 2 Norte","Calle 12 Norte","3.4554689","-76.5336399"
"Avenida 2 Norte | Calle 13 Norte","Avenida 2 Norte","Calle 13 Norte","3.456076","-76.5327695"
