normalizado,nombre,frecuencia,latitud,longitud
CLINICA COLOMBIA,CLINICA COLOMBIA,633,3.4149296,-76.5380888
CLINICA CRISTO REY,CLINICA CRISTO REY,457,3.4625227,-76.5270505
CLINICA VALLE DEL LILI,CLINICA VALLE DEL LILI,169,3.3727612,-76.526125
CLINICA REY DAVID,CLINICA REY DAVID,134,3.4272671,-76.5385178
CLINICA SAN FERNANDO,CLINICA SAN FERNANDO,73,3.4279773,-76.5459685
CLINICA NUESTRA,CLINICA NUESTRA,66,3.4251326,-76.5334955
VIA CALI JAMUNDI,VIA CALI JAMUNDI,56,3.2860812,-76.5251431
CLINICA VERSALLES,CLINICA VERSALLES,48,3.4640262,-76.5277079
CLINICA CALI,CLINICA CALI,46,3.4210824,-76.5231731
CLINICA VALLE SALUD SUR,CLINICA VALLE SALUD SUR,32,3.4209426,-76.5383423
VALLE SALUD SUR,VALLE SALUD SUR,28,3.4209426,-76.5383423
VIA LA BUITRERA,VIA LA BUITRERA,27,3.3654725,-76.5440835
AUTOPISTA SIMON BOLIVAR,Autopista Sim?n Bolivar,26,3.489178,-76.5054154
CRISTO REY,CRISTO REY,25,3.4358798,-76.5647922
HOSPITAL UNIVERSITARIO DEL VALLE,HOSPITAL UNIVERSITARIO DEL VALLE,23,3.4301834,-76.5454401
VIA LA REFORMA,VIA LA REFORMA,23,3.3999045,-76.5740003
HOSPITAL CARLOS HOLMES,HOSPITAL CARLOS HOLMES,22,3.4186978,-76.4941265
HOSPITAL SAN JUAN DE DIOS,HOSPITAL SAN JUAN DE DIOS,22,3.4550213,-76.5279609
VIA CRISTO REY,VIA CRISTO REY,21,3.4287169,-76.5730276
TERMINAL DE TRANSPORTES,TERMINAL DE TRANSPORTES,21,3.4651034,-76.5216064
CLINICA DE LOS REMEDIOS,CLINICA DE LOS REMEDIOS,20,3.4632395,-76.5225533
CLINICA VALLE SALUD,CL?NICA VALLE SALUD,19,3.4209426,-76.5383423
CLINICA VALLE LILI,CLINICA VALLE LILI,18,3.3727612,-76.526125
CENTRO COMERCIAL JARDIN PLAZA,CENTRO COMERCIAL JARDIN PLAZA,16,3.3687238,-76.5277688
CENTRO COMERCIAL CHIPICHAPE,CENTRO COMERCIAL CHIPICHAPE,16,3.4760985,-76.528379
HOSPITAL DEPARTAMENTAL,HOSPITAL DEPARTAMENTAL,15,3.3871246,-76.5579784
JARDIN PLAZA,JARDIN PLAZA,15,3.3687238,-76.5277688
HACIENDA EL CASTILLO,HACIENDA EL CASTILLO,15,3.2907321,-76.5238244
CLINICA AMIGA,CLINICA AMIGA,15,3.3932285,-76.5253803
PRUEBA,PRUEBA,15,3.4921826,-76.5153277
VIA A PANCE,VIA A PANCE,14,3.3165298,-76.5777385
MONTEBELLO,MONTEBELLO,13,3.4757017,-76.5508695
HOSPITAL JOAQUIN PAZ BORRERO,HOSPITAL JOAQUIN PAZ BORRERO,13,3.4652723,-76.4822107
CENTRO COMERCIAL UNICENTRO,CENTRO COMERCIAL UNICENTRO,13,3.3740819,-76.5395399
ESTACION LOS MANGOS,ESTACION LOS MANGOS,13,3.4268616,-76.4839947
VIA PUERTO TEJADA,VIA PUERTO TEJADA,12,3.3199171,-76.4955036
VIA AL HORMIGUERO,VIA AL HORMIGUERO,12,3.316209,-76.4907349
LA VORAGINE,LA VORAGINE,12,3.3456635,-76.5894094
HOSPITAL CARLOS HOLMES TRUJILLO,HOSPITAL CARLOS HOLMES TRUJILLO,11,3.4186978,-76.4941265
AUTOPISTA SUR,Autopista Sur,11,3.4142058,-76.5375886
TERMINAL DE TRANSPORTE,TERMINAL DE TRANSPORTE,11,3.4653891,-76.5217351
CLINICA SEBASTIAN DE BELALCAZAR,CLINICA SEBASTIAN DE BELALCAZAR,11,3.4548233,-76.5371898
LA BUITRERA,LA BUITRERA,11,3.378927,-76.5797825
